,county,lead,state,totalpop,men,women,hispanic,white,black,native,asian,pacific,citizen,income,incomeerr,incomepercap,incomepercaperr,poverty,childpoverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment
15952,Carlisle,Donald Trump,KY,4984.0,2402.0,2582.0,2.2,94.7,1.6,0.7,0.1,0.0,3871.0,38829.0,2775.0,21499.0,1393.0,19.8,38.2,22.9,22.5,21.0,13.3,20.2,82.7,8.9,0.0,0.1,2.7,5.7,25.5,2122.0,73.2,17.7,9.0,0.2,6.8
15958,Brooks,Hillary Clinton,TX,7221.0,3744.0,3477.0,92.9,5.1,0.1,0.0,1.9,0.0,5224.0,22741.0,3037.0,13179.0,1824.0,39.6,57.8,19.6,32.4,25.3,11.1,11.5,84.0,10.8,0.1,2.0,0.1,3.1,20.3,2416.0,72.8,20.9,6.3,0.0,19.8
15962,McCook,Donald Trump,SD,5613.0,2811.0,2802.0,2.8,95.4,0.4,1.0,0.0,0.0,4110.0,56954.0,3335.0,30086.0,2938.0,8.6,10.1,35.8,15.7,20.8,14.6,13.0,74.9,8.3,0.3,3.5,0.5,12.5,24.6,2974.0,74.9,9.4,15.2,0.5,2.1
15966,Scott,Donald Trump,IL,5198.0,2530.0,2668.0,1.4,97.2,0.0,0.2,0.2,0.0,3987.0,47222.0,4237.0,24978.0,1644.0,14.2,21.2,27.9,15.3,23.1,11.9,21.8,81.5,11.4,0.4,2.4,0.2,4.1,25.1,2370.0,76.9,14.7,8.2,0.2,9.4
15970,Chouteau,Donald Trump,MT,5855.0,2917.0,2938.0,2.1,76.0,0.1,19.2,0.3,0.0,4310.0,38521.0,2648.0,22032.0,1281.0,23.2,35.8,40.5,20.3,19.6,12.1,7.5,61.9,9.4,1.8,8.6,2.5,15.8,16.9,2510.0,59.2,24.5,15.1,1.2,4.3
15975,Luce,Donald Trump,MI,6477.0,3788.0,2689.0,2.6,79.2,8.3,6.7,0.2,0.1,5346.0,37088.0,2847.0,18427.0,1007.0,19.5,36.1,24.4,25.0,24.1,10.4,16.1,77.6,11.7,0.0,5.2,1.6,3.7,14.5,2103.0,71.6,23.8,4.3,0.3,11.6
15981,Morris,Donald Trump,KS,5750.0,2855.0,2895.0,4.3,92.8,0.1,0.1,0.4,0.0,4503.0,47089.0,2822.0,23928.0,1065.0,8.9,11.3,27.4,17.5,20.1,19.3,15.6,77.1,9.4,0.0,5.2,0.9,7.4,21.8,2819.0,66.5,19.3,13.7,0.5,3.2
15985,Woodruff,Donald Trump,AR,6983.0,3380.0,3603.0,0.5,69.5,26.8,0.1,1.1,0.1,5418.0,28993.0,2970.0,18377.0,1795.0,23.5,25.7,32.9,16.3,19.2,17.8,13.8,85.4,9.0,0.7,1.8,0.8,2.3,19.4,2472.0,76.9,17.2,6.0,0.0,12.4
15993,Sheridan,Donald Trump,NE,5294.0,2608.0,2686.0,4.2,82.9,0.4,9.1,0.5,0.0,4061.0,41985.0,2132.0,23734.0,1766.0,16.5,29.5,42.2,16.3,20.4,14.8,6.4,71.5,10.3,0.0,9.9,1.4,6.9,18.0,2564.0,64.4,20.8,14.4,0.5,1.4
15997,Storey,Donald Trump,NV,3929.0,1882.0,2047.0,3.7,90.7,0.4,1.7,1.5,0.2,3396.0,64832.0,9604.0,35115.0,3828.0,7.5,9.3,30.6,15.3,31.2,10.0,12.9,87.1,3.8,0.5,2.1,0.0,6.6,27.9,1777.0,72.9,16.4,10.7,0.0,10.3
16003,Calhoun,Donald Trump,IL,4999.0,2528.0,2471.0,0.3,97.8,0.1,0.1,0.0,0.0,3928.0,53869.0,5535.0,26407.0,1563.0,12.6,17.1,26.9,23.2,15.6,16.4,17.9,77.8,13.3,0.6,1.4,1.7,5.2,41.1,2231.0,77.0,12.8,9.8,0.4,5.4
16007,Kingsbury,Donald Trump,SD,5107.0,2590.0,2517.0,2.1,95.4,0.6,0.1,0.6,0.0,3940.0,53828.0,3762.0,29747.0,1800.0,10.1,12.0,35.1,13.9,18.3,12.6,20.1,73.1,9.7,0.2,5.4,0.6,10.9,20.0,2631.0,72.5,11.3,15.8,0.4,2.0
16024,Miller,Donald Trump,GA,5936.0,2837.0,3099.0,0.1,68.7,31.1,0.1,0.0,0.0,4543.0,33983.0,3830.0,18904.0,1358.0,27.9,40.6,27.4,18.3,24.1,17.9,12.3,84.4,8.6,0.8,2.8,2.1,1.4,23.9,2373.0,72.2,18.7,9.1,0.0,6.5
16027,Polk,Donald Trump,NE,5271.0,2632.0,2639.0,3.8,94.3,0.2,0.2,0.4,0.0,3935.0,57312.0,2198.0,30428.0,1906.0,7.6,8.2,35.7,11.5,21.7,15.1,16.1,76.3,11.6,0.0,3.3,0.8,8.1,21.0,2843.0,70.4,14.8,14.2,0.5,1.9
16031,Sherman,Donald Trump,KS,6054.0,2933.0,3121.0,12.1,84.8,1.4,0.2,0.0,0.0,4544.0,39029.0,4372.0,21786.0,1899.0,19.0,26.9,32.0,18.9,22.9,13.5,12.7,78.7,11.8,0.0,0.2,3.2,6.1,14.7,2992.0,70.1,22.4,7.5,0.0,4.0
16035,Hot Springs,Donald Trump,WY,4809.0,2394.0,2415.0,3.6,93.4,0.2,1.5,0.3,0.0,3698.0,45278.0,4773.0,27259.0,2354.0,10.7,15.8,36.3,16.6,23.3,15.4,8.4,71.9,14.2,0.6,7.9,0.3,5.2,18.8,2292.0,70.5,19.0,9.9,0.7,3.3
16041,Gilmer,Donald Trump,WV,8644.0,5111.0,3533.0,3.9,79.6,10.7,0.4,0.3,0.0,7166.0,37536.0,4352.0,17115.0,1739.0,27.0,36.9,31.3,22.0,22.2,16.3,8.2,71.4,14.1,0.1,4.7,2.0,7.7,31.2,2791.0,66.8,29.8,3.4,0.0,9.4
16046,Harper,Donald Trump,KS,5861.0,2954.0,2907.0,6.4,90.5,0.1,1.4,0.1,0.1,4392.0,43973.0,5905.0,24640.0,1601.0,16.4,21.0,33.1,15.6,23.5,11.9,15.9,82.5,9.7,0.2,3.3,1.9,2.4,15.3,2750.0,70.4,19.1,10.0,0.6,3.7
16050,Republic,Donald Trump,KS,4806.0,2355.0,2451.0,1.4,96.7,0.1,0.1,0.6,0.0,3843.0,40449.0,1850.0,25317.0,2042.0,12.8,21.0,35.1,17.1,20.2,13.5,14.1,81.4,4.6,0.0,4.2,2.4,7.3,15.4,2455.0,69.5,16.0,14.1,0.4,3.8
16054,Sullivan,Donald Trump,MO,6512.0,3301.0,3211.0,18.3,78.9,0.9,0.5,0.6,0.0,4636.0,40197.0,3024.0,19930.0,946.0,16.6,20.0,25.8,14.3,17.9,14.6,27.3,72.6,17.0,0.2,3.5,1.2,5.6,16.8,2794.0,76.2,12.2,11.0,0.7,6.0
16059,Beaver,Donald Trump,UT,6461.0,3318.0,3143.0,10.7,88.9,0.2,0.2,0.0,0.0,4165.0,50282.0,6403.0,21405.0,1632.0,12.5,16.5,28.7,19.8,22.3,12.6,16.6,81.8,13.4,0.7,1.9,0.8,1.4,14.5,2881.0,76.0,20.1,3.4,0.5,3.8
16069,Walworth,Donald Trump,SD,5495.0,2688.0,2807.0,4.7,81.3,0.2,8.5,2.8,0.5,4131.0,43221.0,2732.0,25553.0,2084.0,12.2,12.5,32.8,20.2,22.0,15.3,9.8,73.9,12.7,1.0,7.3,1.5,3.6,13.8,2595.0,75.3,15.8,8.6,0.3,5.8
16073,Pulaski,Donald Trump,IL,5871.0,2868.0,3003.0,1.8,63.5,32.0,0.2,0.2,0.0,4487.0,31980.0,1832.0,18923.0,1727.0,20.2,27.2,25.9,26.7,20.2,10.4,16.7,83.4,6.9,0.5,3.1,1.9,4.2,25.8,1935.0,71.4,22.5,6.0,0.1,16.2
16077,Lexington city,Hillary Clinton,VA,7071.0,4372.0,2699.0,3.9,75.4,10.8,0.0,6.9,0.0,6261.0,34017.0,5075.0,14792.0,5436.0,20.2,17.0,46.6,27.5,21.4,1.7,2.8,49.2,7.9,0.0,31.7,2.6,8.5,19.9,2082.0,80.3,14.9,4.8,0.0,2.7
16082,Clinch,Donald Trump,GA,6791.0,3359.0,3432.0,4.2,66.2,26.4,0.8,0.4,0.0,4846.0,24015.0,6144.0,17127.0,1723.0,35.0,44.6,30.0,12.5,19.2,15.1,23.2,85.0,8.0,0.1,0.9,3.6,2.4,20.4,2309.0,72.9,22.7,4.3,0.0,10.7
16085,Mora,Hillary Clinton,NM,4660.0,2226.0,2434.0,82.4,17.5,0.1,0.0,0.0,0.0,3591.0,23822.0,4140.0,15591.0,3668.0,23.4,22.0,31.1,30.4,16.5,14.9,7.0,79.7,11.3,0.0,0.9,0.0,8.1,27.2,1166.0,50.7,43.9,5.2,0.2,5.4
16093,Van Buren,Donald Trump,TN,5596.0,2791.0,2805.0,1.1,95.9,0.6,0.0,0.8,0.0,4465.0,40439.0,3569.0,20351.0,1765.0,18.0,29.6,29.4,24.4,18.2,9.1,19.0,83.9,6.2,0.2,0.7,1.7,7.3,27.9,2218.0,62.9,27.5,9.6,0.0,11.2
16100,Custer,Donald Trump,ID,4234.0,2169.0,2065.0,2.7,95.2,0.0,0.6,0.0,0.4,3434.0,39457.0,3030.0,22861.0,2489.0,19.2,18.0,29.8,15.4,23.6,21.9,9.4,68.3,6.8,2.5,9.1,4.7,8.6,18.7,1784.0,65.7,20.9,12.4,1.1,3.3
16108,Lander,Donald Trump,NV,5946.0,3231.0,2715.0,27.1,65.2,0.1,3.7,0.8,0.2,3929.0,78190.0,9799.0,29390.0,2766.0,11.5,20.6,21.4,12.1,12.8,40.3,13.4,56.7,19.5,13.1,6.0,1.6,3.1,25.3,2644.0,82.3,13.2,4.5,0.0,12.0
16114,Wirt,Donald Trump,WV,5841.0,2936.0,2905.0,0.2,97.3,0.8,0.4,0.0,0.0,4612.0,39352.0,3906.0,22125.0,3107.0,13.7,20.3,28.1,18.5,17.6,17.7,18.1,82.9,10.1,0.0,1.3,1.1,4.6,31.5,2265.0,77.0,19.0,4.0,0.0,8.4
16119,Musselshell,Donald Trump,MT,4790.0,2389.0,2401.0,3.3,92.5,0.2,0.8,1.1,0.0,3674.0,39517.0,2686.0,23545.0,1709.0,16.4,22.5,26.4,16.3,19.3,23.7,14.2,72.9,8.4,0.0,4.7,0.0,14.0,32.9,1967.0,66.3,13.0,17.9,2.7,4.6
16124,Lincoln,Donald Trump,CO,5478.0,3212.0,2266.0,17.0,69.1,11.2,1.5,0.1,0.0,4099.0,39005.0,4134.0,15203.0,2328.0,16.6,16.3,34.3,26.7,23.2,8.5,7.3,71.5,11.3,0.0,5.6,1.3,10.3,18.0,1488.0,54.7,27.6,16.4,1.3,6.3
16146,Forest,Donald Trump,PA,7581.0,5551.0,2030.0,6.4,64.1,26.7,0.3,0.7,0.0,6884.0,35533.0,2164.0,13645.0,1128.0,14.3,37.5,26.2,29.9,23.0,8.5,12.4,80.8,6.4,0.0,8.7,0.5,3.5,23.4,1256.0,66.5,24.0,9.4,0.1,4.8
16151,Buena Vista city,Donald Trump,VA,6666.0,3062.0,3604.0,1.4,88.9,1.1,0.0,7.1,0.0,5204.0,29097.0,4461.0,15707.0,1559.0,28.4,39.5,16.2,28.7,21.1,7.0,26.9,84.3,4.8,0.0,7.0,2.5,1.4,15.6,2824.0,82.6,15.0,2.3,0.0,7.3
16156,Coal,Donald Trump,OK,5812.0,2852.0,2960.0,3.6,71.0,0.3,11.5,0.2,0.0,4349.0,38243.0,5554.0,22977.0,1993.0,20.7,30.5,31.5,14.4,22.0,19.5,12.6,83.1,8.8,0.4,2.1,0.4,5.3,24.4,2296.0,64.6,25.2,9.5,0.7,9.1
16159,Fulton,Donald Trump,KY,6422.0,3169.0,3253.0,1.5,71.5,24.9,0.1,0.1,0.0,5054.0,28359.0,4067.0,18082.0,1404.0,27.4,36.0,29.1,22.8,17.8,6.9,23.4,82.2,7.9,0.5,2.5,2.3,4.6,20.5,2274.0,75.2,17.2,6.7,0.8,12.0
16165,Rooks,Donald Trump,KS,5186.0,2537.0,2649.0,2.4,95.2,0.2,0.3,0.6,0.0,3984.0,43558.0,3779.0,23891.0,1327.0,14.4,21.9,32.0,17.6,21.3,13.1,16.0,79.2,12.7,0.0,3.0,0.5,4.6,15.5,2626.0,66.6,20.9,12.1,0.3,4.1
16169,Dickey,Donald Trump,ND,5195.0,2610.0,2585.0,2.9,94.0,1.5,0.8,0.3,0.0,3965.0,53750.0,3496.0,27825.0,1700.0,8.2,8.3,35.4,19.0,18.6,14.6,12.5,75.8,7.4,0.3,9.4,0.7,6.4,12.5,2755.0,74.8,11.7,10.9,2.6,1.5
16175,Covington city,Donald Trump,VA,5736.0,2979.0,2757.0,1.3,81.5,13.9,0.0,1.0,0.3,4489.0,34746.0,3605.0,20055.0,2076.0,25.5,38.4,18.7,18.8,27.7,13.2,21.7,92.7,4.7,0.4,1.1,0.5,0.6,20.8,2160.0,83.2,15.4,1.3,0.0,7.3
16180,Emporia city,Hillary Clinton,VA,5672.0,2605.0,3067.0,3.0,39.2,55.1,0.2,1.0,0.0,4180.0,28601.0,5096.0,20417.0,3008.0,34.9,52.6,30.5,19.3,21.9,13.7,14.6,76.1,17.2,0.0,2.9,0.9,2.9,20.7,2074.0,74.1,22.6,3.3,0.0,19.1
16185,Kittson,Donald Trump,MN,4480.0,2251.0,2229.0,1.9,96.4,0.6,0.2,0.2,0.0,3485.0,52326.0,4175.0,29279.0,1387.0,10.9,17.1,33.9,14.3,17.5,11.5,22.8,69.2,10.5,1.8,8.6,1.0,8.9,20.3,2182.0,69.2,19.0,11.6,0.2,2.8
16194,Galax city,Donald Trump,VA,6876.0,3321.0,3555.0,16.8,76.0,5.6,0.1,0.4,0.0,4898.0,30604.0,2670.0,21515.0,3833.0,26.8,48.1,21.6,19.9,24.5,5.1,28.8,87.2,9.6,1.0,1.2,0.4,0.6,23.2,2842.0,80.4,14.1,5.5,0.0,6.4
16199,San Saba,Donald Trump,TX,5893.0,3231.0,2662.0,28.9,66.4,3.2,0.0,0.3,0.0,4305.0,39040.0,3186.0,19743.0,2517.0,15.2,23.8,26.5,16.7,17.9,21.0,17.9,71.9,18.5,0.0,2.3,1.8,5.5,18.6,2329.0,64.5,21.7,13.5,0.3,4.9
16203,Wells,Donald Trump,ND,4204.0,2121.0,2083.0,0.7,97.8,0.0,0.2,0.0,0.0,3412.0,48098.0,4988.0,30514.0,2073.0,5.5,0.0,33.3,14.6,21.8,16.0,14.3,70.4,8.6,0.0,6.7,1.2,13.1,14.3,2055.0,67.8,15.6,16.1,0.5,1.3
16209,Holt,Donald Trump,MO,4615.0,2301.0,2314.0,0.3,96.7,0.3,0.7,0.5,0.0,3683.0,42500.0,2637.0,25319.0,2332.0,12.4,11.7,32.4,18.9,18.0,14.3,16.4,80.5,11.1,0.2,4.5,0.9,2.8,20.2,2238.0,72.8,14.2,12.5,0.5,5.2
16214,Jefferson,Donald Trump,OK,6333.0,3207.0,3126.0,9.3,79.0,0.7,6.2,0.1,0.0,4774.0,33449.0,2356.0,19409.0,1043.0,21.3,30.3,24.3,20.8,18.4,17.1,19.3,80.2,12.6,0.3,2.9,0.5,3.6,25.7,2497.0,71.8,16.9,11.1,0.1,6.5
16217,Putnam,Donald Trump,MO,4895.0,2454.0,2441.0,1.2,97.1,0.4,0.2,0.8,0.0,3809.0,36346.0,4384.0,20203.0,1636.0,19.2,25.4,32.4,14.8,17.5,17.9,17.4,78.7,9.8,0.0,1.5,0.6,9.4,20.8,2097.0,67.0,14.8,17.7,0.6,2.8
16222,Brown,Donald Trump,IL,6859.0,4377.0,2482.0,4.2,74.3,16.5,0.0,1.2,0.0,5678.0,50739.0,4955.0,21065.0,2098.0,10.9,10.2,26.8,15.8,20.8,16.4,20.2,84.6,5.4,2.0,1.8,0.5,5.7,20.9,2772.0,73.8,17.4,8.8,0.0,5.4
16226,Wahkiakum,Donald Trump,WA,4035.0,1951.0,2084.0,4.3,89.3,0.1,1.5,1.1,0.0,3364.0,44485.0,7760.0,24483.0,3148.0,17.1,25.0,28.0,17.6,19.5,15.4,19.6,71.7,13.1,4.5,4.5,0.5,5.7,28.6,1248.0,63.4,27.4,9.2,0.0,10.6
16233,Phillips,Donald Trump,CO,4371.0,2259.0,2112.0,18.1,78.5,0.1,0.3,0.8,0.0,3089.0,43639.0,4117.0,24967.0,3513.0,15.3,18.7,35.0,13.9,23.5,18.4,9.2,74.9,11.7,1.2,8.1,1.2,3.0,14.5,1984.0,70.1,16.2,13.3,0.5,5.3
16255,Warren,Hillary Clinton,GA,5561.0,2561.0,3000.0,0.8,37.6,58.8,0.0,1.3,0.1,4297.0,29176.0,4527.0,18174.0,1540.0,27.1,42.2,20.7,16.6,25.5,12.0,25.3,85.0,7.9,0.2,0.9,1.5,4.5,26.4,1998.0,77.9,15.2,6.9,0.0,16.4
16258,Ransom,Donald Trump,ND,5453.0,2788.0,2665.0,1.6,95.7,0.6,0.6,0.3,0.0,4167.0,56500.0,3836.0,30779.0,2420.0,9.3,8.2,33.2,17.7,13.4,12.0,23.6,72.3,13.1,0.0,4.8,0.1,9.7,17.1,2847.0,72.6,14.6,12.2,0.6,2.0
16264,Furnas,Donald Trump,NE,4887.0,2376.0,2511.0,3.3,94.8,0.1,0.5,0.2,0.0,3766.0,39934.0,2282.0,22769.0,1091.0,17.2,31.2,36.5,14.4,20.4,13.3,15.4,73.2,12.2,0.1,4.1,1.5,9.0,14.5,2323.0,67.6,16.7,15.1,0.6,3.4
16268,Grant,Donald Trump,KS,7816.0,3957.0,3859.0,45.8,53.1,0.0,0.4,0.0,0.0,4164.0,55432.0,5919.0,25195.0,3054.0,10.3,9.8,27.5,15.4,20.2,22.4,14.5,76.5,14.0,0.0,3.2,1.2,5.1,15.9,3618.0,71.6,17.5,10.0,0.9,7.3
16272,Wheeler,Donald Trump,TX,5618.0,2842.0,2776.0,26.4,68.8,2.2,0.2,0.5,0.3,3752.0,52221.0,3197.0,26184.0,1837.0,15.7,24.6,27.7,17.7,19.6,22.1,12.9,86.5,8.0,0.0,1.3,1.9,2.3,18.1,2688.0,69.3,18.4,12.1,0.2,3.9
16276,Yoakum,Donald Trump,TX,8213.0,4122.0,4091.0,62.0,35.5,0.7,0.1,0.8,0.0,4087.0,56153.0,9991.0,23125.0,2118.0,11.9,14.3,25.8,13.3,15.0,31.1,14.8,79.0,18.2,0.0,0.8,0.1,1.9,15.4,3546.0,73.4,17.0,9.3,0.2,8.1
16280,Garfield,Donald Trump,UT,5069.0,2637.0,2432.0,5.6,90.2,0.6,0.5,0.8,0.6,3627.0,42614.0,3713.0,19971.0,1882.0,18.0,21.4,27.6,26.4,24.1,15.8,6.2,71.5,13.5,0.0,8.5,2.1,4.5,14.1,2000.0,70.8,20.1,8.9,0.3,8.6
16290,Brule,Donald Trump,SD,5330.0,2621.0,2709.0,0.4,85.8,0.0,10.2,0.0,0.0,3946.0,49531.0,5291.0,22591.0,2009.0,15.4,21.1,38.9,17.5,23.7,12.4,7.5,74.0,9.0,1.9,4.6,2.2,8.3,13.9,2583.0,66.4,16.3,15.4,1.9,2.6
16294,Delta,Donald Trump,TX,5223.0,2586.0,2637.0,6.8,81.2,8.2,0.4,0.7,0.0,4020.0,42432.0,4872.0,20704.0,1701.0,22.8,39.5,32.6,14.8,22.0,11.3,19.3,83.7,9.9,0.0,2.6,1.5,2.3,30.1,1830.0,72.8,16.2,11.0,0.0,13.6
16298,Hyde,Donald Trump,NC,5693.0,3097.0,2596.0,5.3,58.6,35.3,0.4,0.4,0.0,4512.0,42897.0,6334.0,19333.0,2626.0,17.7,24.6,31.5,21.9,20.6,13.5,12.5,66.8,14.2,0.0,5.8,7.6,5.6,20.1,2326.0,55.0,27.0,18.1,0.0,12.7
16301,Calhoun,Donald Trump,AR,5245.0,2692.0,2553.0,3.5,73.0,22.2,0.1,0.2,0.0,4216.0,36899.0,6334.0,20537.0,1831.0,17.8,23.2,22.0,15.6,17.9,18.5,25.9,85.4,7.8,0.3,2.6,0.9,3.0,26.7,2243.0,74.9,17.7,7.4,0.0,7.2
16309,Alfalfa,Donald Trump,OK,5755.0,3454.0,2301.0,5.0,77.0,1.9,1.2,0.0,0.0,4561.0,50156.0,2864.0,28233.0,3714.0,12.9,20.4,32.2,15.4,16.9,18.2,17.3,77.8,11.9,0.2,3.7,2.0,4.5,17.4,2176.0,64.0,20.1,15.6,0.4,4.9
16312,Dewey,Donald Trump,OK,4863.0,2468.0,2395.0,6.2,84.2,0.2,1.6,0.9,0.0,3555.0,50904.0,2718.0,25942.0,2133.0,16.6,22.7,31.7,13.9,16.6,23.3,14.4,78.6,10.0,0.1,4.0,1.0,6.2,24.0,2061.0,65.9,17.6,15.0,1.5,2.7
16315,Bath,Donald Trump,VA,4583.0,2233.0,2350.0,3.5,91.2,3.4,0.0,0.0,0.0,3557.0,43646.0,7122.0,32166.0,8510.0,7.7,3.4,28.5,25.2,23.3,10.6,12.5,84.5,6.7,1.1,4.3,0.1,3.3,27.1,2310.0,80.0,14.7,5.4,0.0,6.0
16320,Mills,Donald Trump,TX,4875.0,2242.0,2633.0,16.2,83.3,0.2,0.0,0.0,0.0,3432.0,43920.0,4799.0,22804.0,2768.0,14.6,21.4,31.4,14.3,28.1,15.1,11.2,84.4,7.6,0.0,3.5,0.6,3.8,17.4,1887.0,71.3,19.5,9.0,0.2,3.6
16324,Beaver,Donald Trump,OK,5530.0,2733.0,2797.0,21.7,76.0,0.6,0.5,0.1,0.0,3827.0,52090.0,3703.0,26258.0,1999.0,9.0,11.7,33.0,13.0,19.1,19.9,14.9,84.6,7.4,0.6,2.7,0.8,3.9,19.8,2555.0,73.3,17.2,9.3,0.2,3.0
16327,Lake of the Woods,Donald Trump,MN,3949.0,2032.0,1917.0,1.0,94.3,0.6,0.5,0.9,0.0,3163.0,42263.0,4092.0,22543.0,1721.0,9.3,9.9,27.7,16.2,18.6,12.2,25.4,71.0,15.3,0.1,6.4,0.0,7.3,19.3,1975.0,78.3,8.8,12.9,0.0,4.8
16336,Hancock,Donald Trump,TN,6642.0,3279.0,3363.0,0.1,97.4,0.5,0.6,0.1,0.0,5235.0,26898.0,2485.0,15169.0,1209.0,27.7,34.6,26.6,19.4,14.7,17.3,22.1,82.2,7.9,2.2,1.9,1.6,4.2,32.7,2240.0,64.4,22.1,13.5,0.0,12.1
16343,Barber,Donald Trump,KS,4770.0,2396.0,2374.0,3.4,93.0,0.3,0.3,0.5,0.0,3674.0,51811.0,4410.0,28174.0,1898.0,10.9,15.6,33.8,14.5,19.7,15.7,16.2,82.9,7.7,0.1,2.9,0.9,5.6,13.5,2350.0,70.3,17.3,12.0,0.5,3.1
16347,Presidio,Hillary Clinton,TX,7304.0,3605.0,3699.0,81.0,15.2,0.0,0.4,3.4,0.0,3712.0,32132.0,6192.0,16507.0,1715.0,21.7,32.6,33.9,25.7,17.7,16.6,6.1,60.6,12.3,2.0,11.3,2.5,11.4,14.9,2610.0,54.9,33.2,11.3,0.6,9.6
16351,Grant,Donald Trump,OK,4517.0,2228.0,2289.0,4.1,89.9,0.4,0.5,0.2,0.0,3448.0,50250.0,2899.0,28552.0,2613.0,9.8,13.1,36.8,11.2,19.6,20.1,12.3,77.2,14.7,0.0,3.7,1.1,3.3,19.9,2098.0,64.7,17.5,17.7,0.1,3.6
16354,Dunn,Donald Trump,ND,4195.0,2221.0,1974.0,2.8,83.1,0.1,9.9,1.3,0.1,3191.0,69732.0,9653.0,41849.0,5088.0,12.6,15.3,31.3,18.5,16.0,18.0,16.1,66.2,12.8,0.7,4.8,1.9,13.5,24.6,2078.0,65.0,16.8,16.3,1.9,4.3
16360,Norton,Donald Trump,KS,5590.0,3182.0,2408.0,5.0,89.8,2.5,0.4,0.4,0.3,4446.0,47852.0,10985.0,23702.0,2574.0,8.5,9.3,33.5,19.1,22.3,12.3,12.7,80.6,12.0,0.0,1.3,1.2,4.8,15.4,2650.0,66.1,21.8,12.0,0.1,1.7
16364,Mitchell,Donald Trump,TX,9169.0,5665.0,3504.0,38.7,48.7,10.6,0.3,0.5,0.0,6891.0,49870.0,2833.0,18764.0,1852.0,11.5,10.8,30.5,20.3,17.3,19.1,12.9,80.7,14.4,0.4,0.7,0.3,3.5,22.2,2955.0,66.7,25.9,7.0,0.4,5.5
16368,Swisher,Donald Trump,TX,7713.0,4041.0,3672.0,41.7,49.3,6.1,0.3,0.4,0.0,5373.0,37040.0,5722.0,18437.0,2146.0,22.6,33.5,27.4,17.6,21.2,14.7,19.0,81.9,11.5,0.0,1.3,1.8,3.5,19.4,2784.0,79.2,12.6,8.2,0.0,6.4
16372,Adams,Donald Trump,ID,3880.0,2049.0,1831.0,3.1,93.5,0.0,1.7,0.1,0.0,3134.0,39565.0,3928.0,21219.0,2099.0,12.9,16.0,27.9,23.5,20.4,17.0,11.2,68.7,11.0,0.8,4.1,3.5,12.0,23.0,1474.0,60.4,25.2,14.2,0.1,11.3
16380,Valley,Donald Trump,NE,4254.0,2129.0,2125.0,1.5,96.8,0.1,0.4,0.0,0.0,3274.0,44612.0,5190.0,25951.0,1683.0,12.9,15.4,37.4,15.4,21.3,13.2,12.6,73.0,13.1,0.0,5.3,0.7,7.8,13.7,2268.0,68.8,16.4,14.6,0.2,1.4
16384,Morrill,Donald Trump,NE,4874.0,2491.0,2383.0,14.6,83.0,0.8,0.3,0.3,0.0,3553.0,45910.0,2585.0,24869.0,2175.0,11.7,14.5,25.9,17.1,22.9,22.8,11.3,71.7,13.3,0.6,5.1,1.3,7.9,17.5,2451.0,67.2,20.8,11.8,0.2,4.0
16388,Scott,Donald Trump,KS,4928.0,2399.0,2529.0,16.5,81.5,0.0,0.6,1.1,0.0,3581.0,51850.0,10573.0,30179.0,3233.0,6.6,5.7,37.3,16.6,14.4,20.5,11.1,87.5,4.8,0.0,3.1,2.2,2.4,15.6,2613.0,66.5,16.5,17.0,0.0,5.8
16392,Hickman,Donald Trump,KY,4720.0,2245.0,2475.0,1.0,87.6,9.1,0.0,0.5,0.0,3777.0,41218.0,3677.0,19597.0,1378.0,15.0,21.0,24.2,21.6,17.8,20.1,16.3,81.9,8.1,0.0,1.0,1.4,7.6,19.3,1742.0,76.1,15.0,9.0,0.0,8.8
16398,Nuckolls,Donald Trump,NE,4391.0,2175.0,2216.0,2.3,95.9,0.0,0.0,0.8,0.0,3460.0,40488.0,5223.0,24447.0,1519.0,11.8,14.2,36.0,17.8,20.3,14.6,11.4,75.1,10.1,1.0,3.9,0.2,9.7,18.4,2219.0,65.3,17.5,16.2,1.0,2.9
16402,Phillips,Donald Trump,MT,4167.0,2086.0,2081.0,2.1,85.6,0.0,9.4,0.0,0.0,3217.0,36071.0,5526.0,22139.0,1779.0,15.9,17.1,33.7,16.6,26.4,15.8,7.5,65.8,11.2,1.0,6.2,1.7,14.1,18.3,1767.0,59.0,24.2,15.2,1.6,6.3
16407,Hardin,Donald Trump,IL,4228.0,2184.0,2044.0,1.8,96.0,0.8,0.1,0.7,0.0,3379.0,38838.0,4037.0,21415.0,2263.0,20.7,25.9,26.9,20.4,17.6,16.9,18.2,82.4,7.0,0.8,2.1,1.4,6.2,25.2,1493.0,75.4,18.4,5.7,0.5,18.1
16411,Pope,Donald Trump,IL,4331.0,2242.0,2089.0,1.8,93.2,3.6,0.2,0.5,0.0,3616.0,39223.0,4776.0,21131.0,1929.0,15.0,23.1,21.7,23.6,20.1,13.5,21.1,78.0,9.2,0.8,3.9,1.6,6.5,30.2,1469.0,74.8,18.0,6.5,0.7,10.0
