,county,lead,state,totalpop,men,women,hispanic,white,black,native,asian,pacific,citizen,income,incomeerr,incomepercap,incomepercaperr,poverty,childpoverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment
2195,Kent,Donald Trump,DE,169509.0,81716.0,87793.0,6.5,63.7,23.4,0.6,2.1,0.0,125094.0,54976.0,1350.0,25404.0,515.0,13.5,19.7,32.7,19.8,23.4,10.4,13.7,82.9,9.6,1.2,1.7,1.0,3.6,26.1,75246.0,73.4,22.4,3.9,0.3,8.4
2199,Mohave,Donald Trump,AZ,203362.0,102371.0,100991.0,15.6,78.2,1.0,1.7,1.1,0.1,156544.0,38488.0,1064.0,20974.0,567.0,19.8,30.8,25.0,25.2,27.4,10.5,12.0,78.1,14.2,0.5,1.9,2.5,2.8,19.3,66880.0,78.3,15.0,6.4,0.3,13.2
2203,Monroe,Donald Trump,MI,150436.0,74065.0,76371.0,3.3,91.9,2.3,0.3,0.6,0.0,114703.0,55653.0,1535.0,26982.0,590.0,11.3,16.4,29.3,18.3,21.1,10.7,20.6,86.2,7.4,1.2,1.2,1.1,3.0,24.4,68024.0,85.8,9.4,4.7,0.1,8.3
2209,Portage,Donald Trump,OH,161897.0,79107.0,82790.0,1.6,90.5,3.9,0.1,1.8,0.0,126529.0,52552.0,1217.0,26042.0,539.0,15.6,21.1,31.9,18.2,24.9,7.7,17.3,83.1,8.3,0.7,2.7,0.9,4.3,25.5,81544.0,83.2,12.0,4.7,0.1,8.7
2214,Sussex,Donald Trump,NJ,145930.0,72391.0,73539.0,7.1,87.7,1.9,0.0,1.8,0.0,110503.0,86565.0,2401.0,38810.0,838.0,5.7,6.9,38.8,16.1,26.3,9.7,9.2,84.2,6.6,1.7,1.1,1.0,5.4,38.1,75669.0,78.8,14.3,6.7,0.1,8.2
2223,Shawnee,Donald Trump,KS,178792.0,86783.0,92009.0,11.5,74.8,7.4,0.7,1.1,0.0,130252.0,50378.0,1143.0,26691.0,561.0,15.2,21.0,36.0,19.5,24.8,8.1,11.6,83.1,10.4,0.7,1.6,1.3,2.9,17.7,84199.0,75.3,20.0,4.6,0.1,6.8
2227,Beaufort,Donald Trump,SC,171420.0,84523.0,86897.0,11.5,66.9,18.4,0.2,1.2,0.0,127031.0,57048.0,1508.0,32401.0,892.0,12.8,21.2,33.6,24.3,24.9,9.8,7.6,75.5,11.5,0.5,2.7,2.8,6.9,21.9,70487.0,79.0,14.6,6.2,0.2,7.2
2234,Charles,Hillary Clinton,MD,152754.0,73731.0,79023.0,5.0,45.4,41.8,0.7,3.3,0.1,110706.0,90607.0,1803.0,36809.0,643.0,7.9,11.2,41.1,17.6,24.9,8.7,7.6,80.0,8.4,6.5,1.1,0.7,3.3,42.8,76622.0,64.3,32.6,2.9,0.2,6.3
2238,Butte,Donald Trump,CA,222564.0,110115.0,112449.0,15.2,73.8,1.4,0.7,4.3,0.2,169724.0,43444.0,1068.0,24259.0,637.0,21.9,23.9,34.6,23.3,23.7,9.1,9.3,75.2,10.3,1.1,3.7,3.9,5.8,19.9,89411.0,71.8,17.3,10.5,0.5,12.1
2243,Davidson,Donald Trump,NC,163867.0,80308.0,83559.0,6.6,81.3,9.2,0.5,1.3,0.0,121119.0,43363.0,1435.0,23060.0,678.0,15.9,23.6,28.1,16.8,23.3,10.5,21.2,85.7,9.1,0.2,1.1,0.9,3.0,24.1,71620.0,81.8,11.9,6.2,0.1,11.0
