,county,state,totalpop,income,professional,service,office,drive,carpool,transit,workathome,meancommute,unemployment,party,perc_men,perc_white,perc_private_work,perc_citizen,perc_employed
1766,Baker,OR,16052.0,41098.0,0.36700000000000005,0.142,0.225,0.723,0.11199999999999999,0.002,0.073,0.156,0.10099999999999999,R,0.5085347620234238,0.936734693877551,0.7112887112887113,0.7928607027161725,0.3972090705208074
1767,Franklin,GA,22110.0,33816.0,0.289,0.15,0.212,0.828,0.08199999999999999,0.0,0.048,0.266,0.084,R,0.48968792401628225,0.8532388663967612,0.7807807807807808,0.7608322026232474,0.3635459068294889
1768,Jasper,MS,16588.0,31578.0,0.244,0.172,0.188,0.8340000000000001,0.11900000000000001,0.009000000000000001,0.009000000000000001,0.281,0.079,D,0.48577284784181335,0.46076458752515087,0.8009999999999999,0.7653122739329636,0.37720038582107546
1769,Ste. Genevieve,MO,17990.0,47014.0,0.20600000000000002,0.165,0.217,0.795,0.146,0.006999999999999999,0.037000000000000005,0.253,0.054000000000000006,R,0.5042801556420233,0.9646821392532795,0.839,0.7660922734852696,0.46209005002779324
1770,Bee,TX,32659.0,42302.0,0.213,0.264,0.22399999999999998,0.81,0.132,0.0,0.019,0.23,0.07,R,0.6038764199761169,0.3319959879638917,0.7042957042957042,0.7614746318013411,0.32000367433173094
1771,Leake,MS,23153.0,33452.0,0.245,0.201,0.187,0.78,0.17,0.012,0.012,0.314,0.105,R,0.500496695892541,0.48192771084337355,0.745,0.6940785211419687,0.3687211160540751
1772,Colonial Heights city,VA,17515.0,50304.0,0.35600000000000004,0.2,0.254,0.866,0.07200000000000001,0.001,0.026000000000000002,0.20600000000000002,0.083,R,0.4648586925492435,0.7789046653144016,0.717,0.7554096488723951,0.43802455038538396
1773,Hardin,IA,17393.0,51019.0,0.294,0.179,0.191,0.81,0.091,0.002,0.044000000000000004,0.17300000000000001,0.049,R,0.49611912838498246,0.9393939393939392,0.7707707707707707,0.7655953544529408,0.4768010119013396
1774,Schuyler,NY,18410.0,47680.0,0.32799999999999996,0.20600000000000002,0.20199999999999999,0.81,0.095,0.008,0.035,0.256,0.064,R,0.5030961434003259,0.9665653495440728,0.747,0.7946768060836502,0.44133623030961433
1775,Washington,GA,20785.0,37932.0,0.301,0.18100000000000002,0.262,0.82,0.12,0.005,0.022000000000000002,0.213,0.122,D,0.5035843156122204,0.4434343434343434,0.745,0.7645417368294443,0.35458263170555687
1776,Gilchrist,FL,16992.0,40623.0,0.276,0.201,0.23,0.7929999999999999,0.142,0.006,0.035,0.295,0.10400000000000001,R,0.5264830508474576,0.8837209302325583,0.7340000000000001,0.7718338041431262,0.3684086629001883
1777,Mercer,IL,16107.0,54757.0,0.29600000000000004,0.134,0.239,0.86,0.076,0.0,0.042,0.27699999999999997,0.062,R,0.4963059539330726,0.9707366296670031,0.797,0.7766809461724716,0.46985782579002916
1778,Lincoln,WY,18316.0,66647.0,0.306,0.16399999999999998,0.19899999999999998,0.745,0.13,0.013000000000000001,0.071,0.299,0.064,R,0.5108102205721773,0.9459734964322121,0.7367367367367368,0.7128193928805416,0.4763048700589648
1779,Cherokee,KS,20952.0,41388.0,0.314,0.195,0.185,0.852,0.08199999999999999,0.0,0.024,0.20800000000000002,0.057999999999999996,R,0.49336578846888124,0.930817610062893,0.7342657342657343,0.7494272623138603,0.4475945017182131
1780,Fulton,IN,20527.0,45332.0,0.249,0.145,0.16699999999999998,0.785,0.11699999999999999,0.003,0.047,0.23399999999999999,0.06,R,0.4996346275636966,0.9324596774193548,0.813,0.7405368538997418,0.44439031519462174
1781,Tishomingo,MS,19539.0,35143.0,0.22,0.14400000000000002,0.245,0.872,0.086,0.004,0.013999999999999999,0.221,0.105,R,0.48211269768155995,0.9405840886203424,0.806,0.7630380265110804,0.4035518706177389
